total_cases,total_deaths,people_fully_vaccinated,reproduction_rate
156071.0,7262.0,2579313.2441860465,0.98
156124.0,7266.0,2611381.441860465,0.98
156166.0,7268.0,2643449.6395348837,0.97
156196.0,7269.0,2675517.837209302,0.97
156210.0,7272.0,2707586.034883721,0.97
156250.0,7280.0,2739654.2325581396,0.97
156284.0,7281.0,2771722.430232558,0.96
156307.0,7281.0,2803790.6279069767,0.96
156323.0,7284.0,2835858.825581395,0.96
156363.0,7284.0,2867927.023255814,0.96
156392.0,7284.0,2899995.2209302327,0.97
156397.0,7284.0,2932063.418604651,0.97
156397.0,7284.0,2964131.61627907,0.98
156397.0,7288.0,2996199.813953488,0.99
156397.0,7290.0,3028268.011627907,1.01
156414.0,7291.0,3060336.2093023253,1.04
156456.0,7292.0,3092404.406976744,1.06
156487.0,7292.0,3124472.604651163,1.08
156510.0,7292.0,3156540.802325581,1.1
156552.0,7293.0,3188609.0,1.12
156610.0,7294.0,3201739.581395349,1.13
156649.0,7295.0,3214870.1627906975,1.13
156739.0,7297.0,3228000.7441860465,1.13
156739.0,7297.0,3241131.3255813955,1.12
156812.0,7299.0,3254261.906976744,1.13
156864.0,7301.0,3267392.488372093,1.12
156896.0,7303.0,3280523.069767442,1.11
156911.0,7303.0,3293653.6511627906,1.1
157015.0,7305.0,3306784.2325581396,1.1
157032.0,7306.0,3319914.813953488,1.09
157144.0,7307.0,3333045.395348837,1.08
157171.0,7307.0,3346175.976744186,1.06
157190.0,7308.0,3359306.5581395347,1.05
157218.0,7308.0,3372437.1395348837,1.04
157260.0,7308.0,3385567.7209302327,1.03
157289.0,7308.0,3398698.302325581,1.02
157359.0,7309.0,3411828.88372093,1.01
157387.0,7310.0,3424959.465116279,1.0
157412.0,7311.0,3438090.0465116277,1.0
157431.0,7312.0,3451220.6279069767,0.99
157454.0,7312.0,3464351.2093023257,0.99
157499.0,7316.0,3477481.7906976743,0.98
157508.0,7317.0,3490612.3720930233,0.98
157542.0,7319.0,3503742.9534883723,0.98
157585.0,7321.0,3516873.534883721,0.98
157603.0,7324.0,3530004.11627907,0.99
157611.0,7325.0,3543134.697674419,0.99
157633.0,7328.0,3556265.2790697673,0.99
157648.0,7328.0,3569395.8604651163,1.0
157660.0,7329.0,3582526.4418604653,1.01
157665.0,7331.0,3595657.023255814,1.03
157725.0,7332.0,3608787.604651163,1.05
157734.0,7332.0,3621918.186046512,1.06
157745.0,7333.0,3635048.7674418604,1.07
157787.0,7335.0,3648179.3488372094,1.09
157797.0,7335.0,3661309.9302325584,1.1
157816.0,7335.0,3674440.511627907,1.11
157841.0,7341.0,3687571.093023256,1.13
157878.0,7346.0,3700701.674418605,1.15
157887.0,7348.0,3713832.2558139535,1.16
157895.0,7349.0,3726962.8372093025,1.18
157951.0,7354.0,3740093.4186046515,1.21
157967.0,7354.0,3753224.0,1.22
157998.0,7355.0,3757541.6153846155,1.24
158037.0,7356.0,3761859.230769231,1.26
158056.0,7356.0,3766176.846153846,1.27
158084.0,7356.0,3770494.4615384615,1.3
158107.0,7356.0,3774812.076923077,1.32
158189.0,7361.0,3779129.6923076925,1.34
158183.0,7364.0,3783447.3076923075,1.35
158205.0,7365.0,3787764.923076923,1.36
158245.0,7367.0,3792082.5384615385,1.38
158275.0,7367.0,3796400.153846154,1.39
158300.0,7368.0,3800717.769230769,1.4
158309.0,7369.0,3805035.3846153845,1.42
158381.0,7373.0,3809353.0,1.44
158394.0,7373.0,3812095.0,1.46
158471.0,7374.0,3814837.0,1.48
158511.0,7376.0,3819311.5,1.49
158602.0,7376.0,3823786.0,1.51
158639.0,7376.0,3826044.75,1.53
158678.0,7378.0,3828303.5,1.55
158717.0,7379.0,3830562.25,1.57
158826.0,7381.0,3832821.0,1.59
158974.0,7383.0,3834776.0,1.61
159070.0,7386.0,3836731.0,1.62
159303.0,7386.0,3839646.2,1.63
159516.0,7390.0,3842561.4,1.64
159548.0,7390.0,3845476.6,1.64
159649.0,7393.0,3848391.8,1.64
159896.0,7393.0,3851307.0,1.65
160252.0,7397.0,3858793.0,1.65
160692.0,7401.0,3866279.0,1.65
161004.0,7403.0,3868832.0,1.64
161057.0,7403.0,3868832.0,1.64
161290.0,7405.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
162111.0,7408.0,3868832.0,1.64
